0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
97,95,85,79,66,55,50,58,59,72,85,88,80,85,80,74,74,80,73,74,77,77,69,66,64,53,50,59,65,71,86,92,84,72,58,34,29,30,36,45,63,63,70,70,73,61,61,53,51,50,64,67,76,80,78,68,65,58,58,55,61,60,61,54,49,51,44,41,48,48,40,43,46,39,39,43,45,33,37,36,37,32,45,44,48,50,58,54,55,50,46,37,31,34,44,54,69,86,94,99
97,95,83,78,69,56,54,65,61,69,85,86,76,85,83,72,74,83,72,68,74,71,61,66,69,58,56,65,65,69,83,87,79,71,62,39,33,37,38,44,63,64,70,74,76,63,64,54,47,46,61,63,71,79,78,68,63,56,51,46,49,48,48,45,41,47,40,38,49,49,40,49,55,47,47,47,43,28,31,30,32,29,43,43,46,48,58,62,62,60,60,48,37,42,50,59,76,90,95,99
98,96,84,77,69,55,55,66,64,71,85,84,73,80,79,69,71,81,69,64,70,66,57,68,72,64,61,67,62,64,76,81,73,70,64,44,37,46,42,46,65,69,69,76,78,65,63,58,47,45,56,60,65,73,74,66,55,47,42,35,31,35,34,34,31,44,39,43,55,59,48,57,59,47,44,46,40,28,31,29,29,27,39,44,48,52,62,65,62,58,59,47,38,47,60,68,85,98,100,100
99,97,85,78,73,59,59,70,68,72,85,85,74,79,78,66,66,76,66,61,70,67,58,70,75,64,61,67,59,60,74,77,68,70,65,45,39,51,45,51,72,77,73,80,78,64,57,55,44,43,50,54,53,59,55,48,33,29,22,21,19,32,34,38,39,53,49,53,65,67,55,61,60,48,43,42,38,29,30,30,32,32,42,50,52,57,65,70,67,65,66,57,47,53,63,71,85,97,100,100
98,94,83,78,77,64,66,76,73,72,85,83,75,79,76,61,58,63,55,53,66,67,59,68,72,61,59,66,58,60,71,69,60,65,62,47,47,59,49,53,72,79,74,81,74,60,47,46,34,36,41,49,46,54,47,39,20,18,13,18,17,33,37,43,45,61,58,59,67,67,54,58,54,40,35,37,35,31,34,40,42,45,52,62,62,65,69,75,70,63,62,55,45,49,58,67,79,92,98,100
97,91,80,77,76,66,72,82,78,76,87,82,77,80,76,59,53,54,46,45,61,63,56,64,68,58,59,66,57,57,65,62,54,65,65,55,55,65,50,50,63,72,65,75,69,57,42,43,29,31,37,46,39,48,41,33,11,12,9,16,16,37,42,50,53,66,60,62,65,65,53,57,52,40,36,41,42,46,49,52,53,54,56,65,69,70,72,75,68,60,61,59,53,57,63,67,75,85,92,96
97,86,78,76,73,67,76,84,83,82,89,84,81,80,70,53,47,44,39,45,61,61,57,62,62,54,56,62,54,54,58,57,49,58,59,53,56,65,54,54,63,71,62,66,55,45,29,33,23,30,34,43,35,44,37,34,15,18,14,21,20,38,41,51,57,69,65,67,67,68,56,58,51,42,37,46,48,54,57,59,58,59,59,66,71,72,74,76,65,57,55,56,52,57,61,63,67,78,88,94
97,85,77,77,73,69,78,86,84,83,90,86,85,85,72,52,43,38,35,44,62,64,57,54,49,39,41,50,48,52,56,56,50,57,59,57,62,68,59,58,62,63,52,53,38,30,19,24,18,30,35,44,37,46,41,39,25,31,25,30,28,41,42,54,60,70,65,66,63,64,56,59,55,48,43,49,51,57,61,66,65,65,62,66,69,72,75,75,64,58,54,57,56,60,61,63,65,76,87,94
96,84,78,77,72,71,79,85,85,84,89,86,85,81,65,44,34,27,28,39,55,57,53,49,45,39,42,48,49,51,53,54,51,56,61,63,67,72,64,55,51,49,37,35,20,18,12,18,16,33,40,52,49,58,59,59,48,50,42,41,32,35,34,44,48,60,58,60,58,65,60,62,58,50,45,49,52,60,67,71,71,70,66,70,74,76,80,75,58,51,47,51,52,58,56,51,51,65,78,88
96,84,80,78,70,73,79,82,83,81,80,76,72,64,53,40,35,33,37,45,53,53,51,50,49,47,47,48,49,46,44,52,53,56,65,70,67,63,57,43,36,35,27,24,14,15,14,24,27,44,52,61,58,63,66,66,58,59,48,41,32,31,28,39,46,55,54,58,56,63,60,63,61,55,53,55,57,62,69,71,74,73,72,74,77,75,79,68,46,37,33,35,37,47,48,45,47,64,78,88
